id,created_by,created_date,modified_by,modified_date,version,subscription_package_id,amount,min_profit,max_profit
1,admininstrator,2024-10-25 09:43:57.000000,admininstrator,2024-10-25 09:43:57.000000,0,1,50,0.0012,0.011
2,admininstrator,2024-10-25 09:43:57.000000,admininstrator,2024-10-25 09:43:57.000000,0,1,100,0.0018,0.015
3,admininstrator,2024-10-25 09:43:57.000000,admininstrator,2024-10-25 09:43:57.000000,0,1,200,0.0025,0.021
4,admininstrator,2024-10-25 09:43:57.000000,admininstrator,2024-10-25 09:43:57.000000,0,1,300,0.0029,0.026
5,admininstrator,2024-10-25 09:43:57.000000,admininstrator,2024-10-25 09:43:57.000000,0,1,400,0.0032,0.031
6,admininstrator,2024-10-25 09:43:57.000000,admininstrator,2024-10-25 09:43:57.000000,0,1,499.99,0.0035,0.037
7,admininstrator,2024-10-25 09:43:57.000000,admininstrator,2024-10-25 09:43:57.000000,0,2,500,0.0036,0.038
8,admininstrator,2024-10-25 09:43:57.000000,admininstrator,2024-10-25 09:43:57.000000,0,2,600,0.0043,0.044
9,admininstrator,2024-10-25 09:43:57.000000,admininstrator,2024-10-25 09:43:57.000000,0,2,700,0.0046,0.048
10,admininstrator,2024-10-25 09:43:57.000000,admininstrator,2024-10-25 09:43:57.000000,0,2,800,0.005,0.052
11,admininstrator,2024-10-25 09:43:57.000000,admininstrator,2024-10-25 09:43:57.000000,0,2,900,0.0054,0.056
12,admininstrator,2024-10-25 09:43:57.000000,admininstrator,2024-10-25 09:43:57.000000,0,2,1000,0.0058,0.061
13,admininstrator,2024-10-25 09:43:57.000000,admininstrator,2024-10-25 09:43:57.000000,0,2,1100,0.0063,0.066
14,admininstrator,2024-10-25 09:43:57.000000,admininstrator,2024-10-25 09:43:57.000000,0,2,1200,0.0067,0.071
15,admininstrator,2024-10-25 09:43:57.000000,admininstrator,2024-10-25 09:43:57.000000,0,2,1300,0.0072,0.076
16,admininstrator,2024-10-25 09:43:57.000000,admininstrator,2024-10-25 09:43:57.000000,0,2,1400,0.0075,0.08
17,admininstrator,2024-10-25 09:43:57.000000,admininstrator,2024-10-25 09:43:57.000000,0,2,1500,0.0079,0.084
18,admininstrator,2024-10-25 09:43:57.000000,admininstrator,2024-10-25 09:43:57.000000,0,2,1600,0.0085,0.089
19,admininstrator,2024-10-25 09:43:57.000000,admininstrator,2024-10-25 09:43:57.000000,0,2,1700,0.0089,0.093
20,admininstrator,2024-10-25 09:43:57.000000,admininstrator,2024-10-25 09:43:57.000000,0,2,1800,0.0093,0.096
21,admininstrator,2024-10-25 09:43:57.000000,admininstrator,2024-10-25 09:43:57.000000,0,2,1999.99,0.012,0.11
22,arbitrageAdmin,2024-11-25 04:32:18.232449,arbitrageAdmin,2024-11-25 04:32:18.232449,0,3,2000,0.023,0.19
23,arbitrageAdmin,2024-11-25 04:32:18.232449,arbitrageAdmin,2024-11-25 04:32:18.232449,0,3,2500,0.023,0.19
24,arbitrageAdmin,2024-11-25 04:32:33.187324,arbitrageAdmin,2024-11-25 04:32:33.187324,0,3,3000,0.032,0.26
25,arbitrageAdmin,2024-11-25 04:32:54.881339,arbitrageAdmin,2024-11-25 04:32:54.881339,0,3,3500,0.042,0.32
26,arbitrageAdmin,2024-11-25 04:33:06.273589,arbitrageAdmin,2024-11-25 04:33:06.273589,0,3,4000,0.051,0.4
27,arbitrageAdmin,2024-11-25 04:33:23.593174,arbitrageAdmin,2024-11-25 04:33:23.593174,0,3,4500,0.06,0.5
28,arbitrageAdmin,2024-11-25 04:33:36.648698,arbitrageAdmin,2024-11-25 04:33:36.648698,0,3,4999.99,0.071,0.65
29,arbitrageAdmin,2024-11-25 04:48:19.167136,arbitrageAdmin,2024-11-25 04:48:19.167136,0,4,5000,0.09,0.8
30,arbitrageAdmin,2024-11-25 04:48:45.565090,arbitrageAdmin,2024-11-25 04:48:45.565090,0,4,6000,0.099,0.92
31,arbitrageAdmin,2024-11-25 04:48:58.068582,arbitrageAdmin,2024-11-25 04:48:58.068582,0,4,7000,0.13,1.2
32,arbitrageAdmin,2024-11-25 04:49:07.450281,arbitrageAdmin,2024-11-25 04:49:07.450281,0,4,8000,0.2,1.35
33,arbitrageAdmin,2024-11-25 04:49:31.233020,arbitrageAdmin,2024-11-25 04:49:31.233020,0,4,9000,0.29,1.5
34,arbitrageAdmin,2024-11-25 04:49:31.233020,arbitrageAdmin,2024-11-25 04:49:31.233020,0,4,9999.99,0.29,1.5
35,arbitrageAdmin,2024-11-25 04:53:30.754329,arbitrageAdmin,2024-11-25 04:53:30.754329,0,5,10000,0.35,1.78
36,arbitrageAdmin,2024-11-25 04:54:05.098735,arbitrageAdmin,2024-11-25 04:54:05.098735,0,5,20000,0.85,3.35
37,arbitrageAdmin,2024-11-25 04:54:16.994478,arbitrageAdmin,2024-11-25 04:54:16.994478,0,5,30000,1.2,5.5
38,arbitrageAdmin,2024-11-25 04:54:27.199869,arbitrageAdmin,2024-11-25 04:54:27.199869,0,5,40000,2.3,8.35
39,arbitrageAdmin,2024-11-25 04:54:52.701215,arbitrageAdmin,2024-11-25 04:54:52.701215,0,5,50000,6.5,12.5
40,arbitrageAdmin,2024-11-25 04:54:52.701215,arbitrageAdmin,2024-11-25 04:54:52.701215,0,5,60000,7.5,13.5
41,arbitrageAdmin,2024-11-25 04:54:52.701215,arbitrageAdmin,2024-11-25 04:54:52.701215,0,5,70000,8.5,14.5
42,arbitrageAdmin,2024-11-25 04:54:52.701215,arbitrageAdmin,2024-11-25 04:54:52.701215,0,5,80000,9.5,15.5
43,arbitrageAdmin,2024-11-25 04:54:52.701215,arbitrageAdmin,2024-11-25 04:54:52.701215,0,5,90000,10.5,16.5
44,arbitrageAdmin,2024-11-25 04:54:52.701215,arbitrageAdmin,2024-11-25 04:54:52.701215,0,5,99999.99,11.5,17.5
